Model,Scale,RMSE,Rsquared,MAE,Notes
Linear Regression,Log,0.37993906694390867,0.7358860041563634,0.2858683775316847,5-fold CV (log target)
Lasso Regression,Log,0.38001268059478777,0.7357748995725932,0.2858942539682915,5-fold CV (log target)
Ridge Regression,Log,0.3820868710650449,0.7349838640456519,0.2856467603237203,5-fold CV (log target)
Linear Regression,Raw,3014.08948146009,0.639943638534469,2282.591121756264,5-fold CV
Lasso Regression,Raw,3014.1776846765624,0.6399287896182242,2282.6976640634552,5-fold CV
Ridge Regression,Raw,3027.5353088066017,0.6389712136246215,2287.4758828818626,5-fold CV
